Transaction ID,Date,Account Number,Bank Name,Bank Statement Amount,Book Records Amount,Match Status
TXN-000002,2023-01-02,ACCT-697028,HSBC,0.23801884,0.85056293,Break
TXN-000005,2023-01-05,ACCT-868864,Wells Fargo,-4.0054226,-4.0975285,Match
TXN-000006,2023-01-06,ACCT-332373,Bank of America,-4.005636,-4.097636,Match
TXN-000008,2023-01-08,ACCT-359968,Wells Fargo,-4.005636,-4.0976357,Break
TXN-000010,2023-01-10,ACCT-603648,Citibank,94.05522,416.8837,Break
TXN-000012,2023-01-12,ACCT-359396,Chase,2358.056,2402.6355,Match
TXN-000014,2023-01-14,ACCT-017537,Chase,-3.80373,-3.7766476,Match
TXN-000017,2023-01-17,ACCT-391570,Chase,11.769803,25.356604,Break
TXN-000022,2023-01-22,ACCT-695209,Chase,1755.4891,2046.6462,Match
TXN-000023,2023-01-23,ACCT-605128,HSBC,-3.9713416,-4.023224,Break
TXN-000039,2023-02-08,ACCT-763566,Citibank,-3.8923671,-3.8526864,Match
TXN-000041,2023-02-10,ACCT-349537,HSBC,180.56783,288.172,Break
TXN-000055,2023-02-24,ACCT-027332,Bank of America,-4.0056353,-4.0976357,Match
TXN-000056,2023-02-25,ACCT-320471,Citibank,2176.7744,2065.3936,Match
TXN-000061,2023-03-02,ACCT-794466,Bank of America,-3.7414165,-3.9500897,Match
TXN-000065,2023-03-06,ACCT-844634,HSBC,-2.0740597,-2.0211067,Match
TXN-000068,2023-03-09,ACCT-811392,Citibank,-4.0056343,-4.097635,Match
TXN-000073,2023-03-14,ACCT-261636,Citibank,-4.0056353,-4.0976353,Match
TXN-000075,2023-03-16,ACCT-524476,Bank of America,-4.001518,-4.087836,Match
TXN-000078,2023-03-19,ACCT-094493,Bank of America,-4.004268,-4.090119,Break
TXN-000079,2023-03-20,ACCT-624029,Wells Fargo,-3.8972187,-3.8770733,Break
TXN-000090,2023-03-31,ACCT-848922,Bank of America,-3.98467,-4.064462,Break
TXN-000095,2023-04-05,ACCT-103937,HSBC,-4.0055776,-4.097597,Break
TXN-000098,2023-04-08,ACCT-086123,Bank of America,-3.9680412,-4.0518837,Match
TXN-000099,2023-04-09,ACCT-741171,HSBC,-4.005092,-4.0970607,Break
TXN-000106,2023-04-16,ACCT-424795,Chase,2085.3108,2233.7197,Match
TXN-000117,2023-04-27,ACCT-311739,Bank of America,-3.8448648,-3.428751,Break
TXN-000118,2023-04-28,ACCT-274793,Wells Fargo,-3.9896328,-4.065708,Break
